                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.73444,                0.71828,                 1.1151,                0.63623,                0.54065,                0.56027,                0.41267,                 1.2765,                 1.6463,                 1.6351,             0.00087269,             0.00087269,             0.00087269
                     68,                0.69868,                0.69921,                 1.1075,                0.65104,                0.46814,                0.52753,                0.37631,                 1.3688,                 1.7065,                 1.7865,             0.00086902,             0.00086902,             0.00086902
                     69,                0.71696,                0.70655,                 1.1105,                0.71033,                0.49615,                0.57113,                0.41447,                 1.2629,                 1.5647,                 1.6475,             0.00086536,             0.00086536,             0.00086536
                     70,                0.70947,                0.68795,                 1.1008,                0.57541,                0.57318,                0.55011,                0.39078,                 1.3151,                 1.6093,                 1.7576,             0.00086169,             0.00086169,             0.00086169
                     71,                0.69459,                0.66523,                 1.1007,                0.60509,                0.52523,                0.54172,                0.39743,                  1.233,                 1.6344,                 1.6557,             0.00085803,             0.00085803,             0.00085803
                     72,                0.70872,                0.67107,                 1.1152,                0.58148,                0.57058,                0.52348,                0.36287,                 1.3099,                 1.7066,                 1.6982,             0.00085436,             0.00085436,             0.00085436
                     73,                0.68653,                0.66124,                 1.0955,                0.62502,                0.54613,                0.56376,                0.39053,                 1.3548,                 1.7463,                 1.7473,             0.00085069,             0.00085069,             0.00085069
                     74,                0.68446,                0.67807,                  1.101,                 0.5736,                0.55386,                0.56223,                0.40902,                 1.2619,                 1.5782,                 1.6683,             0.00084703,             0.00084703,             0.00084703
                     75,                0.69307,                0.67521,                 1.1044,                0.61253,                 0.4728,                0.50602,                0.35062,                 1.3399,                 1.8765,                 1.7707,             0.00084336,             0.00084336,             0.00084336
                     76,                0.70254,                0.67109,                 1.1126,                0.54932,                 0.4641,                0.49332,                  0.352,                 1.2578,                 1.8273,                 1.6879,             0.00083969,             0.00083969,             0.00083969
                     77,                 0.6659,                0.64653,                 1.0948,                0.55646,                0.56132,                0.54898,                0.38677,                 1.2675,                 1.7094,                  1.638,             0.00083603,             0.00083603,             0.00083603
                     78,                0.67208,                0.65175,                 1.0866,                0.56882,                0.55207,                0.54032,                0.38417,                 1.2979,                 1.6512,                 1.6973,             0.00083236,             0.00083236,             0.00083236
                     79,                0.68937,                0.65109,                 1.0978,                0.65912,                0.50806,                0.56061,                0.39387,                 1.2801,                 1.5646,                 1.6866,             0.00082869,             0.00082869,             0.00082869
                     80,                0.66925,                0.62582,                 1.0856,                0.61174,                 0.5045,                0.53779,                0.40159,                 1.2222,                 1.6424,                 1.6171,             0.00082503,             0.00082503,             0.00082503
                     81,                0.67549,                 0.6338,                  1.091,                0.58169,                0.54386,                0.53966,                0.39969,                 1.2222,                 1.6484,                 1.6314,             0.00082136,             0.00082136,             0.00082136
                     82,                0.68146,                0.64634,                 1.0991,                0.62529,                0.50575,                0.54165,                0.39439,                 1.2162,                 1.7048,                 1.5895,              0.0008177,              0.0008177,              0.0008177
                     83,                0.67807,                0.63596,                 1.0812,                0.69571,                0.49306,                0.55989,                0.40121,                  1.232,                 1.6809,                 1.6506,             0.00081403,             0.00081403,             0.00081403
                     84,                0.65816,                0.62444,                 1.0789,                0.63259,                0.48266,                 0.5328,                0.36533,                 1.3065,                 1.7926,                 1.7434,             0.00081036,             0.00081036,             0.00081036
