                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                0.24419,                 0.1939,                0.91039,                0.99943,                      1,                  0.995,                0.99198,                0.12866,                0.10654,                 0.7797,               0.006172,               0.006172,               0.006172
                    118,                0.24018,                 0.1897,                0.90036,                0.99935,                      1,                  0.995,                0.99482,                0.13004,                0.10693,                0.78421,               0.006139,               0.006139,               0.006139
                    119,                0.24282,                0.19329,                0.89815,                0.99943,                      1,                  0.995,                0.99349,                0.12793,                0.11295,                0.78225,               0.006106,               0.006106,               0.006106
                    120,                0.24852,                0.19235,                0.89868,                0.99943,                      1,                  0.995,                0.99301,                0.12952,                0.10897,                0.78217,               0.006073,               0.006073,               0.006073
                    121,                0.23729,                0.18703,                 0.8957,                0.99946,                      1,                  0.995,                0.99261,                0.14109,                0.11333,                0.78886,                0.00604,                0.00604,                0.00604
                    122,                0.24086,                0.18653,                0.89199,                0.99917,                      1,                  0.995,                0.99345,                0.13934,                0.11258,                0.78875,               0.006007,               0.006007,               0.006007
                    123,                0.24409,                0.19157,                0.89649,                0.99945,                      1,                  0.995,                  0.995,                0.13121,                0.11415,                0.78748,               0.005974,               0.005974,               0.005974
                    124,                0.23252,                0.18338,                0.88281,                0.99944,                      1,                  0.995,                0.99484,                0.11772,                0.10828,                0.78059,               0.005941,               0.005941,               0.005941
                    125,                0.23534,                0.18694,                0.89298,                0.99932,                      1,                  0.995,                0.99432,                0.11986,                0.10753,                0.78154,               0.005908,               0.005908,               0.005908
                    126,                0.23834,                0.18587,                0.89467,                0.99946,                      1,                  0.995,                0.99166,                0.12907,                0.11151,                0.78344,               0.005875,               0.005875,               0.005875
                    127,                 0.2378,                0.18833,                0.89161,                0.99944,                      1,                  0.995,                 0.9942,                0.11532,                0.10643,                0.77967,               0.005842,               0.005842,               0.005842
                    128,                0.23697,                0.18712,                0.89506,                0.99943,                      1,                  0.995,                0.99418,                0.12552,                0.11019,                0.78852,               0.005809,               0.005809,               0.005809
                    129,                0.23531,                0.18192,                0.89671,                0.99945,                      1,                  0.995,                0.99307,                0.12325,                0.10726,                0.78398,               0.005776,               0.005776,               0.005776
                    130,                0.23098,                0.17821,                0.89566,                0.99945,                      1,                  0.995,                0.99394,                0.12606,                0.10879,                0.78736,               0.005743,               0.005743,               0.005743
                    131,                0.23108,                0.18067,                0.89494,                 0.9994,                      1,                  0.995,                0.99464,                0.11895,                0.10624,                0.78236,                0.00571,                0.00571,                0.00571
                    132,                0.22157,                0.17737,                 0.8868,                0.99944,                      1,                  0.995,                0.99471,                0.11121,                0.09928,                0.77775,               0.005677,               0.005677,               0.005677
                    133,                0.22215,                 0.1846,                0.89045,                0.99941,                      1,                  0.995,                0.99385,                0.11439,                0.10494,                  0.777,               0.005644,               0.005644,               0.005644
                    134,                0.22661,                 0.1831,                0.89239,                0.99944,                      1,                  0.995,                0.99365,                0.11125,                0.10271,                0.77932,               0.005611,               0.005611,               0.005611
                    135,                0.22377,                0.18636,                0.88947,                0.99943,                      1,                  0.995,                0.99482,                0.11727,                0.10168,                0.77828,               0.005578,               0.005578,               0.005578
                    136,                0.22441,                0.17788,                0.88673,                0.99942,                      1,                  0.995,                0.99428,                 0.1187,                0.10363,                0.78213,               0.005545,               0.005545,               0.005545
                    137,                0.23091,                0.18282,                0.89513,                0.99942,                      1,                  0.995,                0.99412,                0.12099,                0.10673,                0.78337,               0.005512,               0.005512,               0.005512
                    138,                 0.2298,                0.18221,                0.88822,                0.99941,                      1,                  0.995,                0.99423,                 0.1182,                0.10475,                0.78045,               0.005479,               0.005479,               0.005479
                    139,                0.22218,                0.17748,                0.88526,                0.99945,                      1,                  0.995,                0.99486,                0.10922,                0.10555,                0.77854,               0.005446,               0.005446,               0.005446
                    140,                0.21658,                0.17873,                0.89118,                 0.9994,                      1,                  0.995,                0.99345,                 0.1101,                  0.101,                 0.7799,               0.005413,               0.005413,               0.005413
                    141,                0.22683,                0.17807,                0.88463,                0.99924,                      1,                  0.995,                0.99413,                0.11514,                0.10639,                0.77937,                0.00538,                0.00538,                0.00538
                    142,                0.21345,                0.17429,                0.87781,                0.99935,                      1,                  0.995,                0.99343,                0.11314,                0.10217,                  0.773,               0.005347,               0.005347,               0.005347
                    143,                0.21601,                0.17641,                0.88465,                0.99943,                      1,                  0.995,                0.99341,                0.10829,                0.10054,                0.77584,               0.005314,               0.005314,               0.005314
